Group,Y,X
0,87,214
0,156,253
0,182,240
0,206,395
0,161,445
0,256,443
0,295,303
0,302,283
0,345,337
0,357,348
0,422,385
0,418,335
0,361,315
0,369,272
0,353,221
0,370,219
0,402,309
0,412,308
0,425,303
0,460,196
0,427,198
0,453,137
0,407,144
0,403,157
0,361,105
0,320,124
0,337,71
1,459,313
1,444,362
1,431,399
1,444,208
2,289,204
2,162,116
2,109,108
2,176,211
2,202,296
2,233,339
2,219,395
2,176,389
3,361,97
3,411,164
3,462,151
3,382,216
3,403,288
3,395,305
3,210,104
4,265,348
3,420,317
3,450,308
4,233,472
4,172,405
4,32,269
